HN-418
  1.000000    0.000000
  0.999010    0.000140
  0.996060    0.000580
  0.991140    0.001340
  0.984290    0.002470
  0.975530    0.003960
  0.964890    0.005800
  0.952410    0.007940
  0.938150    0.010370
  0.922160    0.013050
  0.904510    0.015970
  0.885260    0.019100
  0.864480    0.022390
  0.842270    0.025800
  0.818710    0.029290
  0.793890    0.032800
  0.767910    0.036290
  0.740880    0.039730
  0.712890    0.043080
  0.684060    0.046300
  0.654510    0.049380
  0.624350    0.052280
  0.593690    0.054970
  0.562670    0.057440
  0.531400    0.059650
  0.500000    0.061570
  0.468610    0.063180
  0.437330    0.064460
  0.406310    0.065380
  0.375660    0.065930
  0.345490    0.066090
  0.315940    0.065870
  0.287110    0.065230
  0.259120    0.064200
  0.232090    0.062750
  0.206110    0.060910
  0.181290    0.058660
  0.157730    0.056020
  0.135520    0.052990
  0.114740    0.049590
  0.095490    0.045830
  0.077840    0.041740
  0.061850    0.037370
  0.047590    0.032720
  0.035110    0.027850
  0.024470    0.022830
  0.015710    0.017740
  0.008860    0.012700
  0.003940    0.007930
  0.000990    0.003540
  0.000000    0.000000
  0.000990   -0.002770
  0.003940   -0.005780
  0.008860   -0.008650
  0.015710   -0.011170
  0.024470   -0.013550
  0.035110   -0.015660
  0.047590   -0.017450
  0.061850   -0.018930
  0.077840   -0.020130
  0.095490   -0.021040
  0.114740   -0.021700
  0.135520   -0.022080
  0.157730   -0.022250
  0.181290   -0.022220
  0.206110   -0.021970
  0.232090   -0.021550
  0.259120   -0.020960
  0.287110   -0.020230
  0.315940   -0.019380
  0.345490   -0.018400
  0.375660   -0.017330
  0.406310   -0.016180
  0.437330   -0.014960
  0.468610   -0.013680
  0.500000   -0.012360
  0.531400   -0.011000
  0.562670   -0.009600
  0.593690   -0.008200
  0.624350   -0.006810
  0.654510   -0.005460
  0.684060   -0.004180
  0.712890   -0.002970
  0.740880   -0.001870
  0.767910   -0.000890
  0.793890   -0.000030
  0.818710    0.000670
  0.842270    0.001230
  0.864480    0.001650
  0.885260    0.001930
  0.904510    0.002080
  0.922160    0.002090
  0.938150    0.002010
  0.952410    0.001820
  0.964890    0.001550
  0.975530    0.001230
  0.984290    0.000870
  0.991140    0.000540
  0.996060    0.000260
  0.999010    0.000070
  1.000000    0.000000
